_______June_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -2.3353
   2   1 -177.00  -89.00       -2.3353
   3   1 -175.00  -89.00       -2.3353
   4   1 -173.00  -89.00       -2.3353
   5   1 -171.00  -89.00       -2.3353
   6   1 -169.00  -89.00       -2.3353
   7   1 -167.00  -89.00       -2.3353
   8   1 -165.00  -89.00       -2.3353
   9   1 -163.00  -89.00       -2.3353
  10   1 -161.00  -89.00       -2.3353
  11   1 -159.00  -89.00       -2.3353
  12   1 -157.00  -89.00       -2.3353
  13   1 -155.00  -89.00       -2.3353
  14   1 -153.00  -89.00       -2.3353
  15   1 -151.00  -89.00       -2.3353
  16   1 -149.00  -89.00       -2.3353
  17   1 -147.00  -89.00       -2.3353
  18   1 -145.00  -89.00       -2.3353
  19   1 -143.00  -89.00       -2.3353
  20   1 -141.00  -89.00       -2.3353
  21   1 -139.00  -89.00       -2.3353
  22   1 -137.00  -89.00       -2.3353
  23   1 -135.00  -89.00       -2.3353
  24   1 -133.00  -89.00       -2.3353
  25   1 -131.00  -89.00       -2.3353
  26   1 -129.00  -89.00       -2.3353
  27   1 -127.00  -89.00       -2.3353
  28   1 -125.00  -89.00       -2.3353
  29   1 -123.00  -89.00       -2.3353
  30   1 -121.00  -89.00       -2.3353
  31   1 -119.00  -89.00       -2.3353
  32   1 -117.00  -89.00       -2.3353
  33   1 -115.00  -89.00       -2.3353
  34   1 -113.00  -89.00       -2.3353
  35   1 -111.00  -89.00       -2.3353
  36   1 -109.00  -89.00       -2.3353
  37   1 -107.00  -89.00       -2.3353
  38   1 -105.00  -89.00       -2.3353
  39   1 -103.00  -89.00       -2.3353
  40   1 -101.00  -89.00       -2.3353
  41   1  -99.00  -89.00       -2.3353
  42   1  -97.00  -89.00       -2.3353
  43   1  -95.00  -89.00       -2.3353
  44   1  -93.00  -89.00       -2.3353
  45   1  -91.00  -89.00       -2.3353
  46   1  -89.00  -89.00       -2.3353
  47   1  -87.00  -89.00       -2.3353
  48   1  -85.00  -89.00       -2.3353
  49   1  -83.00  -89.00       -2.3353
  50   1  -81.00  -89.00       -2.3353
  51   1  -79.00  -89.00       -2.3353
  52   1  -77.00  -89.00       -2.3353
  53   1  -75.00  -89.00       -2.3353
  54   1  -73.00  -89.00       -2.3353
  55   1  -71.00  -89.00       -2.3353
  56   1  -69.00  -89.00       -2.3353
  57   1  -67.00  -89.00       -2.3353
  58   1  -65.00  -89.00       -2.3353
  59   1  -63.00  -89.00       -2.3353
  60   1  -61.00  -89.00       -2.3353
  61   1  -59.00  -89.00       -2.3353
  62   1  -57.00  -89.00       -2.3353
  63   1  -55.00  -89.00       -2.3353
  64   1  -53.00  -89.00       -2.3353
  65   1  -51.00  -89.00       -2.3353
  66   1  -49.00  -89.00       -2.3353
  67   1  -47.00  -89.00       -2.3353
  68   1  -45.00  -89.00       -2.3353
  69   1  -43.00  -89.00       -2.3353
  70   1  -41.00  -89.00       -2.3353
  71   1  -39.00  -89.00       -2.3353
  72   1  -37.00  -89.00       -2.3353
  73   1  -35.00  -89.00       -2.3353
  74   1  -33.00  -89.00       -2.3353
  75   1  -31.00  -89.00       -2.3353
  76   1  -29.00  -89.00       -2.3353
  77   1  -27.00  -89.00       -2.3353
  78   1  -25.00  -89.00       -2.3353
  79   1  -23.00  -89.00       -2.3353
  80   1  -21.00  -89.00       -2.3353
  81   1  -19.00  -89.00       -2.3353
  82   1  -17.00  -89.00       -2.3353
  83   1  -15.00  -89.00       -2.3353
  84   1  -13.00  -89.00       -2.3353
  85   1  -11.00  -89.00       -2.3353
  86   1   -9.00  -89.00       -2.3353
  87   1   -7.00  -89.00       -2.3353
  88   1   -5.00  -89.00       -2.3353
  89   1   -3.00  -89.00       -2.3353
  90   1   -1.00  -89.00       -2.3353
  91   1    1.00  -89.00       -2.3353
  92   1    3.00  -89.00       -2.3353
  93   1    5.00  -89.00       -2.3353
  94   1    7.00  -89.00       -2.3353
  95   1    9.00  -89.00       -2.3353
  96   1   11.00  -89.00       -2.3353
  97   1   13.00  -89.00       -2.3353
  98   1   15.00  -89.00       -2.3353
  99   1   17.00  -89.00       -2.3353
 100   1   19.00  -89.00       -2.3353
 101   1   21.00  -89.00       -2.3353
 102   1   23.00  -89.00       -2.3353
 103   1   25.00  -89.00       -2.3353
 104   1   27.00  -89.00       -2.3353
 105   1   29.00  -89.00       -2.3353
 106   1   31.00  -89.00       -2.3353
 107   1   33.00  -89.00       -2.3353
 108   1   35.00  -89.00       -2.3353
 109   1   37.00  -89.00       -2.3353
 110   1   39.00  -89.00       -2.3353
 111   1   41.00  -89.00       -2.3353
 112   1   43.00  -89.00       -2.3353
 113   1   45.00  -89.00       -2.3353
 114   1   47.00  -89.00       -2.3353
 115   1   49.00  -89.00       -2.3353
 116   1   51.00  -89.00       -2.3353
 117   1   53.00  -89.00       -2.3353
 118   1   55.00  -89.00       -2.3353
 119   1   57.00  -89.00       -2.3353
 120   1   59.00  -89.00       -2.3353
 121   1   61.00  -89.00       -2.3353
 122   1   63.00  -89.00       -2.3353
 123   1   65.00  -89.00       -2.3353
 124   1   67.00  -89.00       -2.3353
 125   1   69.00  -89.00       -2.3353
 126   1   71.00  -89.00       -2.3353
 127   1   73.00  -89.00       -2.3353
 128   1   75.00  -89.00       -2.3353
 129   1   77.00  -89.00       -2.3353
 130   1   79.00  -89.00       -2.3353
 131   1   81.00  -89.00       -2.3353
 132   1   83.00  -89.00       -2.3353
 133   1   85.00  -89.00       -2.3353
 134   1   87.00  -89.00       -2.3353
 135   1   89.00  -89.00       -2.3353
 136   1   91.00  -89.00       -2.3353
 137   1   93.00  -89.00       -2.3353
 138   1   95.00  -89.00       -2.3353
 139   1   97.00  -89.00       -2.3353
 140   1   99.00  -89.00       -2.3353
 141   1  101.00  -89.00       -2.3353
 142   1  103.00  -89.00       -2.3353
 143   1  105.00  -89.00       -2.3353
 144   1  107.00  -89.00       -2.3353
 145   1  109.00  -89.00       -2.3353
 146   1  111.00  -89.00       -2.3353
 147   1  113.00  -89.00       -2.3353
 148   1  115.00  -89.00       -2.3353
