___November_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.1461
   2   1 -177.00  -89.00       -0.1461
   3   1 -175.00  -89.00       -0.1461
   4   1 -173.00  -89.00       -0.1461
   5   1 -171.00  -89.00       -0.1461
   6   1 -169.00  -89.00       -0.1461
   7   1 -167.00  -89.00       -0.1461
   8   1 -165.00  -89.00       -0.1461
   9   1 -163.00  -89.00       -0.1461
  10   1 -161.00  -89.00       -0.1461
  11   1 -159.00  -89.00       -0.1461
  12   1 -157.00  -89.00       -0.1461
  13   1 -155.00  -89.00       -0.1461
  14   1 -153.00  -89.00       -0.1461
  15   1 -151.00  -89.00       -0.1461
  16   1 -149.00  -89.00       -0.1461
  17   1 -147.00  -89.00       -0.1461
  18   1 -145.00  -89.00       -0.1461
  19   1 -143.00  -89.00       -0.1461
  20   1 -141.00  -89.00       -0.1461
  21   1 -139.00  -89.00       -0.1461
  22   1 -137.00  -89.00       -0.1461
  23   1 -135.00  -89.00       -0.1461
  24   1 -133.00  -89.00       -0.1461
  25   1 -131.00  -89.00       -0.1461
  26   1 -129.00  -89.00       -0.1461
  27   1 -127.00  -89.00       -0.1461
  28   1 -125.00  -89.00       -0.1461
  29   1 -123.00  -89.00       -0.1461
  30   1 -121.00  -89.00       -0.1461
  31   1 -119.00  -89.00       -0.1461
  32   1 -117.00  -89.00       -0.1461
  33   1 -115.00  -89.00       -0.1461
  34   1 -113.00  -89.00       -0.1461
  35   1 -111.00  -89.00       -0.1461
  36   1 -109.00  -89.00       -0.1461
  37   1 -107.00  -89.00       -0.1461
  38   1 -105.00  -89.00       -0.1461
  39   1 -103.00  -89.00       -0.1461
  40   1 -101.00  -89.00       -0.1461
  41   1  -99.00  -89.00       -0.1461
  42   1  -97.00  -89.00       -0.1461
  43   1  -95.00  -89.00       -0.1461
  44   1  -93.00  -89.00       -0.1461
  45   1  -91.00  -89.00       -0.1461
  46   1  -89.00  -89.00       -0.1461
  47   1  -87.00  -89.00       -0.1461
  48   1  -85.00  -89.00       -0.1461
  49   1  -83.00  -89.00       -0.1461
  50   1  -81.00  -89.00       -0.1461
  51   1  -79.00  -89.00       -0.1461
  52   1  -77.00  -89.00       -0.1461
  53   1  -75.00  -89.00       -0.1461
  54   1  -73.00  -89.00       -0.1461
  55   1  -71.00  -89.00       -0.1461
  56   1  -69.00  -89.00       -0.1461
  57   1  -67.00  -89.00       -0.1461
  58   1  -65.00  -89.00       -0.1461
  59   1  -63.00  -89.00       -0.1461
  60   1  -61.00  -89.00       -0.1461
  61   1  -59.00  -89.00       -0.1461
  62   1  -57.00  -89.00       -0.1461
  63   1  -55.00  -89.00       -0.1461
  64   1  -53.00  -89.00       -0.1461
  65   1  -51.00  -89.00       -0.1461
  66   1  -49.00  -89.00       -0.1461
  67   1  -47.00  -89.00       -0.1461
  68   1  -45.00  -89.00       -0.1461
  69   1  -43.00  -89.00       -0.1461
  70   1  -41.00  -89.00       -0.1461
  71   1  -39.00  -89.00       -0.1461
  72   1  -37.00  -89.00       -0.1461
  73   1  -35.00  -89.00       -0.1461
  74   1  -33.00  -89.00       -0.1461
  75   1  -31.00  -89.00       -0.1461
  76   1  -29.00  -89.00       -0.1461
  77   1  -27.00  -89.00       -0.1461
  78   1  -25.00  -89.00       -0.1461
  79   1  -23.00  -89.00       -0.1461
  80   1  -21.00  -89.00       -0.1461
  81   1  -19.00  -89.00       -0.1461
  82   1  -17.00  -89.00       -0.1461
  83   1  -15.00  -89.00       -0.1461
  84   1  -13.00  -89.00       -0.1461
  85   1  -11.00  -89.00       -0.1461
  86   1   -9.00  -89.00       -0.1461
  87   1   -7.00  -89.00       -0.1461
  88   1   -5.00  -89.00       -0.1461
  89   1   -3.00  -89.00       -0.1461
  90   1   -1.00  -89.00       -0.1461
  91   1    1.00  -89.00       -0.1461
  92   1    3.00  -89.00       -0.1461
  93   1    5.00  -89.00       -0.1461
  94   1    7.00  -89.00       -0.1461
  95   1    9.00  -89.00       -0.1461
  96   1   11.00  -89.00       -0.1461
  97   1   13.00  -89.00       -0.1461
  98   1   15.00  -89.00       -0.1461
  99   1   17.00  -89.00       -0.1461
 100   1   19.00  -89.00       -0.1461
 101   1   21.00  -89.00       -0.1461
 102   1   23.00  -89.00       -0.1461
 103   1   25.00  -89.00       -0.1461
 104   1   27.00  -89.00       -0.1461
 105   1   29.00  -89.00       -0.1461
 106   1   31.00  -89.00       -0.1461
 107   1   33.00  -89.00       -0.1461
 108   1   35.00  -89.00       -0.1461
 109   1   37.00  -89.00       -0.1461
 110   1   39.00  -89.00       -0.1461
 111   1   41.00  -89.00       -0.1461
 112   1   43.00  -89.00       -0.1461
 113   1   45.00  -89.00       -0.1461
 114   1   47.00  -89.00       -0.1461
 115   1   49.00  -89.00       -0.1461
 116   1   51.00  -89.00       -0.1461
 117   1   53.00  -89.00       -0.1461
 118   1   55.00  -89.00       -0.1461
 119   1   57.00  -89.00       -0.1461
 120   1   59.00  -89.00       -0.1461
 121   1   61.00  -89.00       -0.1461
 122   1   63.00  -89.00       -0.1461
 123   1   65.00  -89.00       -0.1461
 124   1   67.00  -89.00       -0.1461
 125   1   69.00  -89.00       -0.1461
 126   1   71.00  -89.00       -0.1461
 127   1   73.00  -89.00       -0.1461
 128   1   75.00  -89.00       -0.1461
 129   1   77.00  -89.00       -0.1461
 130   1   79.00  -89.00       -0.1461
 131   1   81.00  -89.00       -0.1461
 132   1   83.00  -89.00       -0.1461
 133   1   85.00  -89.00       -0.1461
 134   1   87.00  -89.00       -0.1461
 135   1   89.00  -89.00       -0.1461
 136   1   91.00  -89.00       -0.1461
 137   1   93.00  -89.00       -0.1461
 138   1   95.00  -89.00       -0.1461
 139   1   97.00  -89.00       -0.1461
 140   1   99.00  -89.00       -0.1461
 141   1  101.00  -89.00       -0.1461
 142   1  103.00  -89.00       -0.1461
 143   1  105.00  -89.00       -0.1461
 144   1  107.00  -89.00       -0.1461
 145   1  109.00  -89.00       -0.1461
 146   1  111.00  -89.00       -0.1461
 147   1  113.00  -89.00       -0.1461
 148   1  115.00  -89.00       -0.1461
 149   1  117.00  -89.00       -0.1461
 150   1  119.00  -89.00       -0.1461
 151   1  121.00  -89.00       -0.1461
 152   1  123.00  -89.00       -0.1461
 153   1  125.00  -89.00       -0.1461
 154   1  127.00  -89.00       -0.1461
 155   1  129.00  -89.00       -0.1461
 156   1  131.00  -89.00       -0.1461
 157   1  133.00  -89.00       -0.1461
 158   1  135.00  -89.00       -0.1461
 159   1  137.00  -89.00       -0.1461
 160   1  139.00  -89.00       -0.1461
 161   1  141.00  -89.00       -0.1461
 162   1  143.00  -89.00       -0.1461
 163   1  145.00  -89.00       -0.1461
 164   1  147.00  -89.00       -0.1461
 165   1  149.00  -89.00       -0.1461
 166   1  151.00  -89.00       -0.1461
 167   1  153.00  -89.00       -0.1461
 168   1  155.00  -89.00       -0.1461
 169   1  157.00  -89.00       -0.1461
 170   1  159.00  -89.00       -0.1461
 171   1  161.00  -89.00       -0.1461
 172   1  163.00  -89.00       -0.1461
 173   1  165.00  -89.00       -0.1461
 174   1  167.00  -89.00       -0.1461
 175   1  169.00  -89.00       -0.1461
 176   1  171.00  -89.00       -0.1461
 177   1  173.00  -89.00       -0.1461
 178   1  175.00  -89.00       -0.1461
 179   1  177.00  -89.00       -0.1461
 180   1  179.00  -89.00       -0.1461
   1   2 -179.00  -87.00       -0.1461
   2   2 -177.00  -87.00       -0.1461
   3   2 -175.00  -87.00       -0.1461
   4   2 -173.00  -87.00       -0.1461
   5   2 -171.00  -87.00       -0.1461
   6   2 -169.00  -87.00       -0.1461
   7   2 -167.00  -87.00       -0.1461
   8   2 -165.00  -87.00       -0.1461
   9   2 -163.00  -87.00       -0.1461
  10   2 -161.00  -87.00       -0.1461
  11   2 -159.00  -87.00       -0.1461
  12   2 -157.00  -87.00       -0.1461
  13   2 -155.00  -87.00       -0.1461
  14   2 -153.00  -87.00       -0.1461
  15   2 -151.00  -87.00       -0.1461
  16   2 -149.00  -87.00       -0.1461
  17   2 -147.00  -87.00       -0.1461
  18   2 -145.00  -87.00       -0.1461
  19   2 -143.00  -87.00       -0.1461
  20   2 -141.00  -87.00       -0.1461
  21   2 -139.00  -87.00       -0.1461
  22   2 -137.00  -87.00       -0.1461
  23   2 -135.00  -87.00       -0.1461
  24   2 -133.00  -87.00       -0.1461
  25   2 -131.00  -87.00       -0.1461
  26   2 -129.00  -87.00       -0.1461
  27   2 -127.00  -87.00       -0.1461
  28   2 -125.00  -87.00       -0.1461
  29   2 -123.00  -87.00       -0.1461
  30   2 -121.00  -87.00       -0.1461
  31   2 -119.00  -87.00       -0.1461
  32   2 -117.00  -87.00       -0.1461
  33   2 -115.00  -87.00       -0.1461
  34   2 -113.00  -87.00       -0.1461
  35   2 -111.00  -87.00       -0.1461
  36   2 -109.00  -87.00       -0.1461
  37   2 -107.00  -87.00       -0.1461
  38   2 -105.00  -87.00       -0.1461
  39   2 -103.00  -87.00       -0.1461
  40   2 -101.00  -87.00       -0.1461
  41   2  -99.00  -87.00       -0.1461
  42   2  -97.00  -87.00       -0.1461
  43   2  -95.00  -87.00       -0.1461
  44   2  -93.00  -87.00       -0.1461
  45   2  -91.00  -87.00       -0.1461
  46   2  -89.00  -87.00       -0.1461
  47   2  -87.00  -87.00       -0.1461
  48   2  -85.00  -87.00       -0.1461
  49   2  -83.00  -87.00       -0.1461
  50   2  -81.00  -87.00       -0.1461
  51   2  -79.00  -87.00       -0.1461
  52   2  -77.00  -87.00       -0.1461
  53   2  -75.00  -87.00       -0.1461
  54   2  -73.00  -87.00       -0.1461
  55   2  -71.00  -87.00       -0.1461
  56   2  -69.00  -87.00       -0.1461
  57   2  -67.00  -87.00       -0.1461
  58   2  -65.00  -87.00       -0.1461
  59   2  -63.00  -87.00       -0.1461
  60   2  -61.00  -87.00       -0.1461
  61   2  -59.00  -87.00       -0.1461
  62   2  -57.00  -87.00       -0.1461
  63   2  -55.00  -87.00       -0.1461
  64   2  -53.00  -87.00       -0.1461
  65   2  -51.00  -87.00       -0.1461
  66   2  -49.00  -87.00       -0.1461
  67   2  -47.00  -87.00       -0.1461
  68   2  -45.00  -87.00       -0.1461
  69   2  -43.00  -87.00       -0.1461
  70   2  -41.00  -87.00       -0.1461
  71   2  -39.00  -87.00       -0.1461
  72   2  -37.00  -87.00       -0.1461
  73   2  -35.00  -87.00       -0.1461
  74   2  -33.00  -87.00       -0.1461
  75   2  -31.00  -87.00       -0.1461
  76   2  -29.00  -87.00       -0.1461
  77   2  -27.00  -87.00       -0.1461
  78   2  -25.00  -87.00       -0.1461
  79   2  -23.00  -87.00       -0.1461
  80   2  -21.00  -87.00       -0.1461
  81   2  -19.00  -87.00       -0.1461
